Symbol,Min_halflife,Max_halflife,Tissue_rolfs
ARHGAP17,66.24798826585439,104.44862393067605,Arytenoid Cartilage|Cricoid Cartilage|Liver
ARHGDIA,93.10237482335162,411.4650589522339,Arytenoid Cartilage|Cricoid Cartilage|Laryngeal Muscle|Liver|Sternocleidomastoid Muscle|Thyroid Cartilage|Vocal Fold Mucosa
ARHGDIB,134.65705304703098,261.1133626342322,Cricoid Cartilage|Thyroid Cartilage
ARID1A,34.94199066025053,65.28858843578774,Arytenoid Cartilage|Vocal Fold Mucosa
ARL1,40.214500286312045,97.74108304018048,Arytenoid Cartilage|Cricoid Cartilage|Liver
ARL3,82.47252160744947,148.81055848858304,Arytenoid Cartilage|Thyroid Cartilage
ARL6IP5,61.62449465989508,285.5395182532478,Arytenoid Cartilage|Cricoid Cartilage|Laryngeal Muscle|Liver|Sternocleidomastoid Muscle
ARL8A,69.22818282745148,104.46830151619346,Cricoid Cartilage|Liver
ARL8B,69.22818282745148,104.46830151619346,Cricoid Cartilage|Liver
ARPC1B,72.36300984574666,220.13407878031404,Arytenoid Cartilage|Cricoid Cartilage|Liver|Vocal Fold Mucosa
ARPC2,92.99828003933956,228.0714605625327,Arytenoid Cartilage|Cricoid Cartilage|Liver
ARPC3,83.34435036792026,187.40038676848854,Arytenoid Cartilage|Cricoid Cartilage|Liver|Thyroid Cartilage
ARPC4,165.79163178624702,228.8243787266784,Cricoid Cartilage
